Day,widget_id,Hour Of Day,Visits,Conversions
2.4.2024,281183,03:00 - 03:59,1,0
15.4.2024,281182,20:00 - 20:59,1,0
3.4.2024,281163,11:00 - 11:59,8,0
15.4.2024,281163,15:00 - 15:59,3,0
3.4.2024,281163,12:00 - 12:59,2,0
4.4.2024,281163,18:00 - 18:59,2,0
5.4.2024,281163,13:00 - 13:59,2,0
13.4.2024,281163,12:00 - 12:59,2,0
15.4.2024,281163,21:00 - 21:59,2,0
1.4.2024,281163,11:00 - 11:59,1,0
1.4.2024,281163,13:00 - 13:59,1,0
2.4.2024,281163,18:00 - 18:59,1,0
3.4.2024,281163,09:00 - 09:59,1,0
4.4.2024,281163,10:00 - 10:59,1,0
4.4.2024,281163,11:00 - 11:59,1,0
4.4.2024,281163,12:00 - 12:59,1,0
4.4.2024,281163,19:00 - 19:59,1,0
5.4.2024,281163,18:00 - 18:59,1,0
5.4.2024,281163,20:00 - 20:59,1,0
5.4.2024,281163,21:00 - 21:59,1,0
11.4.2024,281163,19:00 - 19:59,1,0
12.4.2024,281163,08:00 - 08:59,1,0
12.4.2024,281163,09:00 - 09:59,1,0
12.4.2024,281163,13:00 - 13:59,1,0
12.4.2024,281163,17:00 - 17:59,1,0
13.4.2024,281163,10:00 - 10:59,1,0
13.4.2024,281163,20:00 - 20:59,1,0
13.4.2024,281163,21:00 - 21:59,1,0
14.4.2024,281163,17:00 - 17:59,1,0
15.4.2024,281163,08:00 - 08:59,1,0
15.4.2024,281163,16:00 - 16:59,1,0
15.4.2024,281162,21:00 - 21:59,1,0
5.4.2024,281157,19:00 - 19:59,1,0
5.4.2024,281157,20:00 - 20:59,1,0
8.4.2024,281156,14:00 - 14:59,1,0
28.3.2024,281109,13:00 - 13:59,1,0
1.4.2024,281109,13:00 - 13:59,1,0
23.3.2024,281082,21:00 - 21:59,4,0
25.3.2024,281082,10:00 - 10:59,3,0
23.3.2024,281082,14:00 - 14:59,2,0
23.3.2024,281082,16:00 - 16:59,2,0
23.3.2024,281082,18:00 - 18:59,2,0
24.3.2024,281082,10:00 - 10:59,2,0
24.3.2024,281082,11:00 - 11:59,2,0
24.3.2024,281082,13:00 - 13:59,2,0
22.3.2024,281082,11:00 - 11:59,1,0
23.3.2024,281082,12:00 - 12:59,1,0
23.3.2024,281082,17:00 - 17:59,1,0
23.3.2024,281082,20:00 - 20:59,1,0
23.3.2024,281082,22:00 - 22:59,1,0
24.3.2024,281082,03:00 - 03:59,1,0
24.3.2024,281082,09:00 - 09:59,1,0
24.3.2024,281082,20:00 - 20:59,1,0
25.3.2024,281082,11:00 - 11:59,1,0
25.3.2024,281082,12:00 - 12:59,1,0
2.4.2024,281082,09:00 - 09:59,1,0
3.4.2024,281082,12:00 - 12:59,1,0
12.4.2024,281082,14:00 - 14:59,1,0
15.4.2024,281082,07:00 - 07:59,1,0
15.4.2024,281082,08:00 - 08:59,1,0
